iter	Passed	Remaining
476	649	711
477	650	710
478	651	708
479	652	706
480	653	705
481	654	703
482	655	701
483	656	700
484	657	698
485	658	696
486	659	694
487	660	693
488	661	691
489	662	689
490	663	687
491	664	686
492	665	684
493	666	682
494	667	681
495	668	679
496	669	677
497	670	676
498	671	674
499	672	672
500	673	670
501	674	669
502	675	667
503	676	666
504	677	664
505	678	662
506	679	661
507	680	659
508	681	657
509	682	656
510	683	654
511	684	652
512	686	651
513	687	649
514	688	647
515	689	646
516	690	644
517	691	643
518	692	641
519	692	639
520	693	638
521	695	636
522	695	634
523	697	633
524	698	631
525	699	630
526	700	628
527	701	626
528	702	625
529	703	623
530	704	622
531	705	620
532	706	618
533	707	617
534	708	615
535	709	614
536	710	612
537	711	610
538	712	609
539	713	607
540	714	606
541	715	604
542	716	603
543	717	601
544	718	599
545	719	598
546	720	596
547	721	595
548	722	593
549	723	591
550	724	590
551	725	588
552	726	587
553	727	585
554	728	584
555	729	582
556	730	581
557	731	579
558	732	578
559	733	576
560	734	574
561	735	573
562	736	571
563	737	570
564	738	568
565	739	567
566	740	565
567	741	564
568	742	562
569	743	561
570	744	559
571	745	558
572	746	556
573	747	555
574	749	553
575	750	552
576	751	550
577	752	549
578	753	547
579	754	546
580	755	544
581	756	543
582	757	541
583	758	540
584	759	538
585	760	537
586	761	535
587	762	534
588	763	532
589	764	531
590	765	529
591	766	528
592	767	526
593	768	525
594	769	523
595	770	522
596	771	520
597	772	519
598	773	517
599	774	516
600	775	514
601	776	513
602	777	511
603	778	510
604	779	508
605	780	507
606	781	506
607	782	504
608	783	503
609	784	501
610	785	500
611	786	498
612	787	497
613	788	495
614	789	494
615	790	492
616	791	491
617	792	489
618	793	488
619	794	486
620	795	485
621	796	483
622	797	482
623	798	481
624	799	479
625	800	478
626	801	476
627	802	475
628	803	473
629	804	472
630	805	471
631	806	469
632	807	468
633	808	466
634	810	465
635	811	464
636	813	463
637	815	462
638	816	461
639	817	460
640	819	458
641	820	457
642	822	456
643	823	454
644	823	453
645	824	452
646	825	450
647	826	449
648	827	447
649	828	446
650	829	444
651	830	443
652	831	441
653	832	440
654	833	438
655	834	437
656	835	436
657	836	434
658	837	433
659	838	431
660	839	430
661	840	429
662	841	427
663	842	426
664	843	424
665	844	423
666	845	422
667	846	420
668	847	419
669	848	417
670	849	416
671	850	415
672	851	413
673	852	412
674	853	410
675	854	409
676	855	408
677	856	406
678	857	405
679	858	403
680	859	402
681	860	401
682	861	399
683	862	398
684	863	396
685	864	395
686	865	394
687	866	392
688	867	391
689	868	390
690	869	388
691	870	387
692	871	386
693	872	384
694	873	383
695	874	381
696	875	380
697	876	379
698	877	377
699	878	376
700	879	375
701	880	373
702	881	372
703	882	370
704	883	369
705	884	368
706	885	366
707	885	365
708	886	364
709	887	362
710	888	361
711	889	359
712	890	358
713	891	357
714	892	355
715	893	354
716	894	353
717	895	351
718	896	350
719	897	349
720	898	347
721	899	346
722	900	344
723	901	343
724	902	342
725	903	340
726	904	339
727	905	338
728	906	336
729	907	335
730	908	334
731	909	332
732	909	331
733	910	330
734	911	328
735	912	327
736	913	326
737	914	324
738	915	323
739	916	322
740	917	320
741	918	319
742	919	318
743	920	316
744	921	315
745	922	314
746	923	312
747	924	311
748	925	310
749	926	308
750	927	307
751	928	306
752	929	304
753	930	303
754	931	302
755	932	301
756	933	299
757	934	298
758	935	297
759	936	295
760	937	294
761	938	293
762	939	291
763	940	290
764	942	289
765	943	288
766	944	286
767	945	285
768	946	284
769	947	282
770	948	281
771	949	280
772	950	279
773	951	277
774	952	276
775	953	275
776	954	273
777	955	272
778	956	271
779	957	270
780	958	268
781	959	267
782	960	266
783	961	264
784	962	263
785	963	262
786	964	261
787	965	259
788	966	258
789	967	257
790	968	255
791	969	254
792	970	253
793	971	252
794	972	250
795	973	249
796	974	248
797	975	246
798	976	245
799	977	244
800	978	243
801	979	241
802	980	240
803	981	239
804	982	237
805	983	236
806	984	235
807	985	234
808	985	232
809	986	231
810	987	230
811	988	228
812	989	227
813	990	226
814	991	225
815	992	223
816	993	222
817	994	221
818	995	220
819	996	218
820	997	217
821	998	216
822	999	214
823	1000	213
824	1001	212
825	1002	211
826	1003	209
827	1004	208
828	1005	207
829	1006	206
830	1007	204
831	1008	203
832	1009	202
833	1010	201
834	1011	199
835	1012	198
836	1013	197
837	1014	196
838	1014	194
839	1015	193
840	1016	192
841	1017	191
842	1018	189
843	1019	188
844	1020	187
845	1021	185
846	1022	184
847	1023	183
848	1024	182
849	1025	181
850	1026	179
851	1027	178
852	1028	177
853	1029	176
854	1030	174
855	1031	173
856	1032	172
857	1034	171
858	1035	169
859	1036	168
860	1038	167
861	1039	166
862	1041	165
863	1042	164
864	1044	162
865	1045	161
866	1046	160
867	1047	159
868	1048	158
869	1049	156
870	1050	155
871	1051	154
872	1052	153
873	1053	151
874	1054	150
875	1055	149
876	1056	148
877	1057	146
878	1058	145
879	1059	144
880	1060	143
881	1061	142
882	1062	140
883	1063	139
884	1064	138
885	1065	137
886	1066	135
887	1067	134
888	1068	133
889	1069	132
890	1070	130
891	1071	129
892	1072	128
893	1072	127
894	1073	125
895	1074	124
896	1075	123
897	1076	122
898	1077	121
899	1078	119
900	1079	118
901	1080	117
902	1081	116
903	1082	114
904	1083	113
905	1084	112
906	1085	111
907	1086	110
908	1087	108
909	1088	107
910	1089	106
911	1090	105
912	1091	104
913	1092	102
914	1093	101
915	1094	100
916	1095	99
917	1096	97
918	1097	96
919	1098	95
920	1099	94
921	1100	93
922	1101	91
923	1102	90
924	1103	89
925	1104	88
926	1105	87
927	1106	85
928	1107	84
929	1108	83
930	1109	82
931	1110	81
932	1111	79
933	1112	78
934	1113	77
935	1114	76
936	1115	74
937	1116	73
938	1117	72
939	1118	71
940	1119	70
941	1120	68
942	1121	67
943	1122	66
944	1122	65
945	1123	64
946	1124	62
947	1125	61
948	1126	60
949	1127	59
950	1128	58
951	1129	56
952	1130	55
953	1131	54
954	1132	53
955	1133	52
956	1134	50
957	1135	49
958	1136	48
959	1137	47
960	1138	46
961	1139	45
962	1140	43
963	1141	42
964	1142	41
965	1143	40
966	1144	39
967	1145	37
968	1146	36
969	1147	35
970	1148	34
971	1149	33
972	1150	31
973	1151	30
974	1152	29
975	1153	28
976	1154	27
977	1155	25
978	1156	24
979	1157	23
980	1158	22
981	1159	21
982	1160	20
983	1161	18
984	1162	17
985	1163	16
986	1164	15
987	1165	14
988	1166	12
989	1167	11
990	1168	10
991	1169	9
992	1170	8
993	1171	7
994	1172	5
995	1173	4
996	1173	3
997	1174	2
998	1175	1
999	1176	0
